2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Continent ,Name
6.619549751,6.416819572,6.521790028,6.64149332,6.724531174,6.621312141,6.702362061,6.965125084,6.984214306,7.037137508,6.965,6.985,7.075799942,7.155,7.034,Europe,Zuha
7.093392849,6.582700253,7.008064747,6.283498287,6.797901154,6.959185123,6.649365425,6.66712141,6.466867924,6.357625008,6.489,6.592,6.663799763,6.69,6.687,Europe,Zuha
6.983556747,6.801930904,6.986463547,6.90654707,7.029364109,6.869248867,6.880784035,6.918055058,6.758147717,6.515445232,7.19,7.054,7.164500237,7.064,6.943,Europe,Zuha
6.853783607,6.574412346,6.779774189,6.333800316,6.354238033,6.057086468,5.839313984,6.009373665,6.026585102,5.847683907,6,6.223,6.38740015,6.483,6.467,Europe,Zuha
7.152785778,6.994614601,7.294472694,6.198601246,6.188262463,6.518249035,6.290690422,6.150027275,6.456477642,6.380663395,6.31,6.354,6.400899887,6.491,6.476,Europe,Zuha
4.803954124,5.25218153,5.172380447,5.1656394,5.057561398,5.083132744,5.030342102,4.710802555,4.297329903,3.964542866,4.103,4.332,4.56069994,4.875,5.084,Europe,Zuha
5.587209225,5.886137486,5.772027493,5.887029648,5.646204948,5.87593174,5.746131897,5.750282288,6.007021904,6.162076473,6.123,6.182,6.186299801,6.166,6.123,Europe,Zuha
5.232322216,5.311368465,5.26072073,5.095342159,5.738744259,6.019331932,5.939986229,6.049212456,5.972364426,5.892539024,6.096,6.174,6.257599831,6.179,6.063,Europe,Zuha
5.308190346,5.336371422,5.128988266,4.767507076,4.608927727,5.139579296,4.682224274,4.749955654,4.652730942,4.716783047,4.707,4.548,4.672399998,4.721,4.888,Middle East,Zuha
4.589844704,4.775316715,5.065462112,4.725366116,4.659508705,4.725017071,4.541502476,4.493377209,4.412537098,4.462399006,4.456,4.437,4.784800053,4.854,4.941,Middle East,Zuha
7.079644203,7.266694069,6.811370373,6.14759016,6.307098389,6.699789524,6.396359444,6.495132923,6.27837801,6.345491886,6.371,6.375,6.406499863,6.494,6.523,Middle East,Zuha
7.18179369,7.512687683,7.280385971,7.158032417,7.16361618,7.115138531,7.026226997,7.249285221,7.151114464,6.863946915,6.886,6.892,6.939599991,6.951,6.977,North America,Zuha
7.418048382,7.481752872,7.485603809,7.48782444,7.650346279,7.426053524,7.415144444,7.593793869,7.30425787,7.412772655,7.328,7.278,7.23210001,7.103,7.025,North America,Zuha
7.340688229,7.285390854,7.253757477,7.450047016,7.405616283,7.195585728,7.364169121,7.288550377,7.309060574,7.250080109,7.272,7.228,7.222799778,7.183,7.162,Oceania ,Zuha
6.636771202,6.320672989,6.691424847,7.000831604,6.837331295,7.037816525,6.660003662,7.140282631,6.980998993,6.546896935,6.419,6.3,6.375599861,6.33,6.293,South America,Zuha
6.580657959,6.525378227,6.829036236,6.962819099,6.802388668,6.909515381,7.320185184,7.442546368,6.679831028,6.236287117,6.488,6.595,6.465000153,6.317,6.128,South America,Zuha
6.024942875,6.138411522,6.168395042,6.271604538,6.40811348,6.463952541,6.374879837,6.606550694,6.44878912,6.387571812,6.26,6.125,6.163400173,6.012,5.781,South America,Zuha
6.312925339,6.073158264,5.961034298,6.424133301,6.441067219,6.775805473,6.468387127,6.582260132,6.671114445,6.69713068,6.388,6.086,5.974699974,5.929,5.967,South America,Zuha
4.810845375,5.213962078,5.129230976,5.518846989,5.612785339,5.892457485,5.824557304,5.782557487,5.865815639,5.577263355,5.663,5.697,5.796800137,5.84,5.559,South America,Zuha
7.169620991,6.525146008,6.257771492,7.188803196,7.47845459,6.579789162,7.066577435,6.552796364,6.136096478,5.568800449,4.806,4.707,5.053199768,4.892,4.925,South America,
