RANK,Country,latitude,longitude,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,,latitude,longitude,country
24,United Arab Emirates,23.424076,53.847818,6.576,"6,660","6,492","1,809","1,998","0,980","0,633","0,702","0,204","0,250","3,807",,-3.373056,29.918886,Burundi
25,Saudi Arabia,23.885942,45.079162,6.523,"6,637","6,409","2,075","1,870","1,092","0,577","0,651","0,078","0,180","5,037",,9.30769,2.315834,Benin
26,Taiwan Province of China,23.69781,120.960515,6.512,"6,596","6,429","2,002","1,897","1,095","0,733","0,542","0,075","0,168","4,994",,32.321384,-64.75737,Bermuda
27,Singapore,1.352083,103.819836,6.480,"6,569","6,392","0,932","2,149","1,127","0,851","0,672","0,163","0,587","3,276",,4.535277,114.727669,Brunei
28,Romania,45.943161,24.96676,6.477,"6,575","6,379","2,446","1,719","1,006","0,655","0,605","0,039","0,006","5,171",,-16.290154,-63.588653,Bolivia
29,Spain,40.463667,-3.74922,6.476,"6,560","6,392","1,893","1,808","1,211","0,808","0,505","0,101","0,149","4,912",,-14.235004,-51.92528,Brazil
30,Uruguay,-32.522779,-55.765835,6.474,"6,562","6,386","1,974","1,615","1,180","0,672","0,665","0,103","0,265","4,769",,25.03428,-77.39628,Bahamas
31,Italy,41.87194,12.56738,6.467,"6,570","6,363","2,222","1,834","1,052","0,801","0,412","0,085","0,059","5,108",,27.514162,90.433601,Bhutan
32,Kosovo,42.602636,20.902977,6.455,"6,571","6,339","2,631","1,362","0,949","0,569","0,599","0,309","0,035","3,993",,-54.423199,3.413194,Bouvet Island
33,Malta,35.937496,14.375416,6.447,"6,535","6,359","1,631","1,838","1,169","0,789","0,679","0,174","0,166","4,638",,-22.328474,24.684866,Botswana
34,Lithuania,55.169438,23.881275,6.446,"6,535","6,356","2,153","1,804","1,204","0,659","0,496","0,053","0,077","5,161",,53.709807,27.953389,Belarus
35,Slovakia,48.669026,19.699024,6.391,"6,475","6,306","2,094","1,736","1,232","0,707","0,479","0,118","0,025","5,062",,17.189877,-88.49765,Belize
