Country,Continent ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Brazil,South America,6.636771202,6.320672989,6.691424847,7.000831604,6.837331295,7.037816525,6.660003662,7.140282631,6.980998993,6.546896935,6.419,6.3,6.375599861,6.33,6.293,
Mexico,South America,6.580657959,6.525378227,6.829036236,6.962819099,6.802388668,6.909515381,7.320185184,7.442546368,6.679831028,6.236287117,6.488,6.595,6.465000153,6.317,6.128,
Jamaica,South America,6.207881927,5.374446392,5.708886623,5.310538769,5.889759064,6.515817165,6.238197803,5.91067934,5.844999313,6.056752682,5.89,5.89,5.889800072,6.309,5.85,
Lithuania,Europe,5.954442978,5.80828476,5.553925991,5.466920853,5.065824986,5.43243742,5.771037102,5.595689297,6.125723839,5.711378098,5.952,6.149,6.215499878,6.255,6.446,
Cyprus,Europe,6.237958431,6.833477497,6.386546135,6.689608574,6.180507183,5.438952446,5.627123833,5.439161301,5.794618607,6.062051296,5.762,5.718,6.15899992,6.223,6.221,
Estonia,Europe,5.371054649,5.332044125,5.451937675,5.137738705,5.486819744,5.363927841,5.367445946,5.55598259,5.628908634,5.649675369,5.739,5.893,6.021800041,6.189,6.341,
Panama,South America,6.127988338,6.894139767,6.930903435,7.033740044,7.3214674,7.24808073,6.859835625,6.86648035,6.631171227,6.605550289,6.43,6.321,6.304800034,6.18,6.309,
Uzbekistan,Europe,5.232322216,5.311368465,5.26072073,5.095342159,5.738744259,6.019331932,5.939986229,6.049212456,5.972364426,5.892539024,6.096,6.174,6.257599831,6.179,6.063,
Chile,South America,6.062851906,5.697929859,5.789438725,6.493686199,6.63565588,6.526334763,6.599128723,6.74015379,6.844238281,6.532749653,6.476,6.444,6.228499889,6.172,6.172,
Poland,Europe,5.587209225,5.886137486,5.772027493,5.887029648,5.646204948,5.87593174,5.746131897,5.750282288,6.007021904,6.162076473,6.123,6.182,6.186299801,6.166,6.123,
Kazakhstan,Europe,5.475948334,5.718553543,5.886419773,5.382563114,5.514286518,5.735662937,5.759469509,5.835483074,5.970097542,5.949995041,5.79,5.809,6.057899952,6.152,6.234,
Romania,Europe,5.048648357,5.393723965,5.367565155,4.909165859,5.02275753,5.166874886,5.081584454,5.726893425,5.777491093,5.96887064,5.945,6.07,6.123700142,6.14,6.477,
Kuwait,Middle East,6.075547218,6.585246086,6.798151016,6.377699375,6.221094608,6.480031013,6.180138588,6.146031857,5.947194576,6.093905449,6.083,6.021,6.102099895,6.106,6.106,
